Draudėjo kodas (code);Juridinių asmenų registro kodas (jarCode);Pavadinimas (name);Savivaldybė, kurioje registruota(municipality);Ekonominės veiklos rūšies kodas(ecoActCode);Ekonominės veiklos rūšies pavadinimas(ecoActName);Data (date);Apdraustųjų skaičius (numInsured);Skola Sodrai(debt);Atidėta skola Sodrai(deferredDebt)
42399;;"LATVIJOS RESPUBLIKOS AMBASADA";"Vilniaus m. sav.";0;"";2020-05-01;3;0.00;
45838;;"GOETHE-INSTITUT";"Vilniaus m. sav.";0;"";2020-05-01;8;0.00;
50764;;"BRITŲ TARYBA";"Vilniaus m. sav.";0;"";2020-05-01;7;0.00;
51006;;"LENKIJOS RESPUBLIKOS AMBASADA";"Vilniaus m. sav.";0;"";2020-05-01;24;0.00;
2291772;303369895;"AMRITUS, UAB";"Vilniaus r. sav.";702200;"Konsultacinė verslo ir kito valdymo veikla";2020-05-27;2;0.00;
2291772;303369895;"AMRITUS, UAB";"Vilniaus r. sav.";702200;"Konsultacinė verslo ir kito valdymo veikla";2020-05-28;2;0.00;
2291772;303369895;"AMRITUS, UAB";"Vilniaus r. sav.";702200;"Konsultacinė verslo ir kito valdymo veikla";2020-05-29;2;0.00;
2291772;303369895;"AMRITUS, UAB";"Vilniaus r. sav.";702200;"Konsultacinė verslo ir kito valdymo veikla";2020-05-30;2;0.00;
2291772;303369895;"AMRITUS, UAB";"Vilniaus r. sav.";702200;"Konsultacinė verslo ir kito valdymo veikla";2020-05-31;2;0.00;
2291752;303369920;"MB BALTOS KNYGOS";"Vilniaus m. sav.";692000;"Apskaitos, buhalterijos ir audito veikla; konsultacijos mokesčių klausimais";2020-05-01;1;0.00;
2291752;303369920;"MB BALTOS KNYGOS";"Vilniaus m. sav.";692000;"Apskaitos, buhalterijos ir audito veikla; konsultacijos mokesčių klausimais";2020-05-02;1;0.00;
2291752;303369920;"MB BALTOS KNYGOS";"Vilniaus m. sav.";692000;"Apskaitos, buhalterijos ir audito veikla; konsultacijos mokesčių klausimais";2020-05-03;1;0.00;
2291752;303369920;"MB BALTOS KNYGOS";"Vilniaus m. sav.";692000;"Apskaitos, buhalterijos ir audito veikla; konsultacijos mokesčių klausimais";2020-05-04;1;0.00;
2291752;303369920;"MB BALTOS KNYGOS";"
2277591;303316063;"UAB EXADEL LT";"Vilniaus m. sav.";620100;"Kompiuterių programavimo veikla";2020-05-01;54;0.00;
